countyfips,buyer_county,buyer_state,year,total_pills
08025,CROWLEY,CO,2008,162100
08025,CROWLEY,CO,2009,172600
08025,CROWLEY,CO,2010,208900
08025,CROWLEY,CO,2011,207400
08025,CROWLEY,CO,2012,212800
08025,CROWLEY,CO,2013,200600
08025,CROWLEY,CO,2014,169300
48109,CULBERSON,TX,2006,700
01043,CULLMAN,AL,2006,3613860
01043,CULLMAN,AL,2007,4237370
01043,CULLMAN,AL,2008,4591560
01043,CULLMAN,AL,2009,4849140
01043,CULLMAN,AL,2010,5303890
01043,CULLMAN,AL,2011,6045660
01043,CULLMAN,AL,2012,6072990
01043,CULLMAN,AL,2013,6518740
01043,CULLMAN,AL,2014,6735790
51047,CULPEPER,VA,2006,1117200
51047,CULPEPER,VA,2007,1281846
51047,CULPEPER,VA,2008,1424560
51047,CULPEPER,VA,2009,1565320
51047,CULPEPER,VA,2010,1582700
51047,CULPEPER,VA,2011,1656840
51047,CULPEPER,VA,2012,1471720
51047,CULPEPER,VA,2013,1326360
51047,CULPEPER,VA,2014,1336690
17035,CUMBERLAND,IL,2006,119200
17035,CUMBERLAND,IL,2007,128800
17035,CUMBERLAND,IL,2008,150400
17035,CUMBERLAND,IL,2009,148300
17035,CUMBERLAND,IL,2010,163800
17035,CUMBERLAND,IL,2011,192940
17035,CUMBERLAND,IL,2012,193950
17035,CUMBERLAND,IL,2013,187880
17035,CUMBERLAND,IL,2014,200320
21057,CUMBERLAND,KY,2006,478730
21057,CUMBERLAND,KY,2007,460720
21057,CUMBERLAND,KY,2008,521650
21057,CUMBERLAND,KY,2009,537950
21057,CUMBERLAND,KY,2010,638120
21057,CUMBERLAND,KY,2011,714990
21057,CUMBERLAND,KY,2012,758210
21057,CUMBERLAND,KY,2013,841200
21057,CUMBERLAND,KY,2014,873280
23005,CUMBERLAND,ME,2006,8533575
23005,CUMBERLAND,ME,2007,10109780
23005,CUMBERLAND,ME,2008,11064820
23005,CUMBERLAND,ME,2009,11091120
23005,CUMBERLAND,ME,2010,11738810
23005,CUMBERLAND,ME,2011,11881200
23005,CUMBERLAND,ME,2012,11727800
23005,CUMBERLAND,ME,2013,10813040
23005,CUMBERLAND,ME,2014,10474080
37051,CUMBERLAND,NC,2006,7785270
37051,CUMBERLAND,NC,2007,8753860
37051,CUMBERLAND,NC,2008,9692120
37051,CUMBERLAND,NC,2009,11486380
37051,CUMBERLAND,NC,2010,12101270
37051,CUMBERLAND,NC,2011,13292180
37051,CUMBERLAND,NC,2012,14332940
37051,CUMBERLAND,NC,2013,13749980
37051,CUMBERLAND,NC,2014,13999840
34011,CUMBERLAND,NJ,2006,4226245
34011,CUMBERLAND,NJ,2007,4884996
34011,CUMBERLAND,NJ,2008,5844380
34011,CUMBERLAND,NJ,2009,5823430
34011,CUMBERLAND,NJ,2010,6260870
34011,CUMBERLAND,NJ,2011,7279280
34011,CUMBERLAND,NJ,2012,7460110
34011,CUMBERLAND,NJ,2013,7200350
34011,CUMBERLAND,NJ,2014,7251850
42041,CUMBERLAND,PA,2006,5333725
42041,CUMBERLAND,PA,2007,6218695
42041,CUMBERLAND,PA,2008,7309950
42041,CUMBERLAND,PA,2009,8163965
42041,CUMBERLAND,PA,2010,8761120
42041,CUMBERLAND,PA,2011,9761786.72
42041,CUMBERLAND,PA,2012,9909750
42041,CUMBERLAND,PA,2013,9805600
42041,CUMBERLAND,PA,2014,9579080
47035,CUMBERLAND,TN,2006,2707950
47035,CUMBERLAND,TN,2007,3124610
47035,CUMBERLAND,TN,2008,3486890
47035,CUMBERLAND,TN,2009,3905390
47035,CUMBERLAND,TN,2010,4302980
47035,CUMBERLAND,TN,2011,4863450
47035,CUMBERLAND,TN,2012,4813030
47035,CUMBERLAND,TN,2013,4379870
47035,CUMBERLAND,TN,2014,4167390
51049,CUMBERLAND,VA,2006,38270
51049,CUMBERLAND,VA,2007,59800
51049,CUMBERLAND,VA,2008,81480
51049,CUMBERLAND,VA,2009,67390
51049,CUMBERLAND,VA,2010,94300
51049,CUMBERLAND,VA,2011,160350
51049,CUMBERLAND,VA,2012,137060
51049,CUMBERLAND,VA,2013,139500
51049,CUMBERLAND,VA,2014,138700
31039,CUMING,NE,2006,86000
31039,CUMING,NE,2007,117400
31039,CUMING,NE,2008,125100
31039,CUMING,NE,2009,133420
31039,CUMING,NE,2010,139200
31039,CUMING,NE,2011,155530
31039,CUMING,NE,2012,180430
31039,CUMING,NE,2013,165700
31039,CUMING,NE,2014,154650
37053,CURRITUCK,NC,2006,277600
37053,CURRITUCK,NC,2007,327370
37053,CURRITUCK,NC,2008,336660
37053,CURRITUCK,NC,2009,372740
37053,CURRITUCK,NC,2010,383110
37053,CURRITUCK,NC,2011,414180
37053,CURRITUCK,NC,2012,413160
37053,CURRITUCK,NC,2013,389480
37053,CURRITUCK,NC,2014,360590
35009,CURRY,NM,2006,812660
35009,CURRY,NM,2007,1071810
35009,CURRY,NM,2008,1346500
35009,CURRY,NM,2009,1605800
35009,CURRY,NM,2010,1797400
35009,CURRY,NM,2011,1945180
35009,CURRY,NM,2012,1922150
35009,CURRY,NM,2013,1790030
35009,CURRY,NM,2014,1806320
41015,CURRY,OR,2006,1547584
41015,CURRY,OR,2007,1775100
41015,CURRY,OR,2008,1829090
41015,CURRY,OR,2009,1911965
41015,CURRY,OR,2010,1971770
41015,CURRY,OR,2011,1990110
41015,CURRY,OR,2012,2017930
41015,CURRY,OR,2013,1932270
41015,CURRY,OR,2014,1871530
08027,CUSTER,CO,2006,900
08027,CUSTER,CO,2007,1000
08027,CUSTER,CO,2009,200
08027,CUSTER,CO,2010,500
08027,CUSTER,CO,2011,1000
08027,CUSTER,CO,2012,1100
08027,CUSTER,CO,2013,1900
08027,CUSTER,CO,2014,740
16037,CUSTER,ID,2006,38600
16037,CUSTER,ID,2007,51800
16037,CUSTER,ID,2008,55900
16037,CUSTER,ID,2009,49700
16037,CUSTER,ID,2010,63300
16037,CUSTER,ID,2011,78200
16037,CUSTER,ID,2012,89900
16037,CUSTER,ID,2013,88800
16037,CUSTER,ID,2014,88900
30017,CUSTER,MT,2006,333300
30017,CUSTER,MT,2007,373600
30017,CUSTER,MT,2008,410400
30017,CUSTER,MT,2009,507960
30017,CUSTER,MT,2010,621300
30017,CUSTER,MT,2011,628600
30017,CUSTER,MT,2012,635430
30017,CUSTER,MT,2013,658900
30017,CUSTER,MT,2014,671130
31041,CUSTER,NE,2006,225700
31041,CUSTER,NE,2007,255630
31041,CUSTER,NE,2008,263500
31041,CUSTER,NE,2009,278200
31041,CUSTER,NE,2010,299530
31041,CUSTER,NE,2011,328610
31041,CUSTER,NE,2012,342380
31041,CUSTER,NE,2013,347290
31041,CUSTER,NE,2014,328240
40039,CUSTER,OK,2006,912450
40039,CUSTER,OK,2007,1043390
40039,CUSTER,OK,2008,1155840
40039,CUSTER,OK,2009,1376570
40039,CUSTER,OK,2010,1467940
40039,CUSTER,OK,2011,1675000
40039,CUSTER,OK,2012,1672820
40039,CUSTER,OK,2013,1618830
40039,CUSTER,OK,2014,1537180
46033,CUSTER,SD,2006,129200
46033,CUSTER,SD,2007,169900
46033,CUSTER,SD,2008,179100
46033,CUSTER,SD,2009,180900
46033,CUSTER,SD,2010,178700
46033,CUSTER,SD,2011,162300
46033,CUSTER,SD,2012,193500
46033,CUSTER,SD,2013,220600
46033,CUSTER,SD,2014,215500
39035,CUYAHOGA,OH,2006,28285209
39035,CUYAHOGA,OH,2007,32449977
39035,CUYAHOGA,OH,2008,35657900
39035,CUYAHOGA,OH,2009,39903665
39035,CUYAHOGA,OH,2010,42286565
39035,CUYAHOGA,OH,2011,44873295
39035,CUYAHOGA,OH,2012,43291695.5
39035,CUYAHOGA,OH,2013,41317033
39035,CUYAHOGA,OH,2014,39152414
13083,DADE,GA,2006,565410
13083,DADE,GA,2007,695420
13083,DADE,GA,2008,793400
13083,DADE,GA,2009,878870
13083,DADE,GA,2010,957390
13083,DADE,GA,2011,912000
13083,DADE,GA,2012,930820
13083,DADE,GA,2013,782360
13083,DADE,GA,2014,595000
29057,DADE,MO,2006,282000
29057,DADE,MO,2007,317100
29057,DADE,MO,2008,295900
29057,DADE,MO,2009,275450
29057,DADE,MO,2010,289630
29057,DADE,MO,2011,385170
29057,DADE,MO,2012,391300
29057,DADE,MO,2013,361450
29057,DADE,MO,2014,345760
27037,DAKOTA,MN,2006,5667884
27037,DAKOTA,MN,2007,6527818
27037,DAKOTA,MN,2008,6968270
27037,DAKOTA,MN,2009,7510724
27037,DAKOTA,MN,2010,8463135
27037,DAKOTA,MN,2011,9359360
27037,DAKOTA,MN,2012,9750950
27037,DAKOTA,MN,2013,9406550
27037,DAKOTA,MN,2014,9595705
31043,DAKOTA,NE,2006,231000
31043,DAKOTA,NE,2007,274800
31043,DAKOTA,NE,2008,324500
31043,DAKOTA,NE,2009,378500
31043,DAKOTA,NE,2010,404300
31043,DAKOTA,NE,2011,483130
31043,DAKOTA,NE,2012,533930
31043,DAKOTA,NE,2013,525930
31043,DAKOTA,NE,2014,539430
01045,DALE,AL,2006,1217000
01045,DALE,AL,2007,1349020
01045,DALE,AL,2008,1518770
01045,DALE,AL,2009,1805780
01045,DALE,AL,2010,2221480
01045,DALE,AL,2011,2337060
01045,DALE,AL,2012,2277470
01045,DALE,AL,2013,2008640
01045,DALE,AL,2014,1751980
48111,DALLAM,TX,2006,122040
48111,DALLAM,TX,2007,158480
48111,DALLAM,TX,2008,160300
48111,DALLAM,TX,2009,174820
48111,DALLAM,TX,2010,202400
48111,DALLAM,TX,2011,255220
48111,DALLAM,TX,2012,238600
48111,DALLAM,TX,2013,218900
48111,DALLAM,TX,2014,195100
01047,DALLAS,AL,2006,1005680
01047,DALLAS,AL,2007,1351260
01047,DALLAS,AL,2008,1682220
01047,DALLAS,AL,2009,1504230
01047,DALLAS,AL,2010,1358560
01047,DALLAS,AL,2011,1480210
01047,DALLAS,AL,2012,1593610
01047,DALLAS,AL,2013,1624080
01047,DALLAS,AL,2014,1464280
05039,DALLAS,AR,2006,220800
05039,DALLAS,AR,2007,239480
05039,DALLAS,AR,2008,257500
05039,DALLAS,AR,2009,289000
05039,DALLAS,AR,2010,316700
05039,DALLAS,AR,2011,372800
05039,DALLAS,AR,2012,341430
05039,DALLAS,AR,2013,363800
05039,DALLAS,AR,2014,361360
19049,DALLAS,IA,2006,591900
19049,DALLAS,IA,2007,693100
19049,DALLAS,IA,2008,747900
19049,DALLAS,IA,2009,834400
19049,DALLAS,IA,2010,903370
19049,DALLAS,IA,2011,948210
19049,DALLAS,IA,2012,916710
19049,DALLAS,IA,2013,891050
19049,DALLAS,IA,2014,896540
29059,DALLAS,MO,2006,446390
29059,DALLAS,MO,2007,456700
29059,DALLAS,MO,2008,523700
29059,DALLAS,MO,2009,589600
29059,DALLAS,MO,2010,660550
29059,DALLAS,MO,2011,634600
29059,DALLAS,MO,2012,637060
29059,DALLAS,MO,2013,593290
29059,DALLAS,MO,2014,610830
48113,DALLAS,TX,2006,51676450
48113,DALLAS,TX,2007,57535470
48113,DALLAS,TX,2008,61494845
48113,DALLAS,TX,2009,65300300
48113,DALLAS,TX,2010,70972703
48113,DALLAS,TX,2011,79077645
48113,DALLAS,TX,2012,75089714
48113,DALLAS,TX,2013,75276296
48113,DALLAS,TX,2014,70160960
55025,DANE,WI,2006,12920101
55025,DANE,WI,2007,14247352
55025,DANE,WI,2008,15296565
55025,DANE,WI,2009,15647935
55025,DANE,WI,2010,16944670
55025,DANE,WI,2011,17678580
55025,DANE,WI,2012,18248435
55025,DANE,WI,2013,17634375
55025,DANE,WI,2014,17656065
30019,DANIELS,MT,2006,22900
30019,DANIELS,MT,2007,26800
30019,DANIELS,MT,2008,22800
30019,DANIELS,MT,2009,30000
30019,DANIELS,MT,2010,37300
30019,DANIELS,MT,2011,46900
30019,DANIELS,MT,2012,39700
30019,DANIELS,MT,2013,45100
30019,DANIELS,MT,2014,49400
51590,DANVILLE CITY,VA,2006,2534880
51590,DANVILLE CITY,VA,2007,2343450
51590,DANVILLE CITY,VA,2008,2599970
51590,DANVILLE CITY,VA,2009,2979220
51590,DANVILLE CITY,VA,2010,3087710
51590,DANVILLE CITY,VA,2011,3446730
51590,DANVILLE CITY,VA,2012,3377156.5
51590,DANVILLE CITY,VA,2013,3311434
51590,DANVILLE CITY,VA,2014,3291410
37055,DARE,NC,2006,1248000
37055,DARE,NC,2007,1410790
37055,DARE,NC,2008,1531860
37055,DARE,NC,2009,1868670
37055,DARE,NC,2010,2157375
37055,DARE,NC,2011,2260960
37055,DARE,NC,2012,2288820
37055,DARE,NC,2013,2272640
37055,DARE,NC,2014,2189660
39037,DARKE,OH,2006,747360
39037,DARKE,OH,2007,894830
39037,DARKE,OH,2008,1036630
39037,DARKE,OH,2009,1111700
39037,DARKE,OH,2010,1198940
39037,DARKE,OH,2011,1367950
39037,DARKE,OH,2012,1295080
39037,DARKE,OH,2013,1287530
39037,DARKE,OH,2014,1304930
45031,DARLINGTON,SC,2006,3836860
45031,DARLINGTON,SC,2007,4502750
45031,DARLINGTON,SC,2008,4901430
45031,DARLINGTON,SC,2009,5594760
45031,DARLINGTON,SC,2010,6361440
45031,DARLINGTON,SC,2011,7243540
45031,DARLINGTON,SC,2012,7926960
45031,DARLINGTON,SC,2013,8185950
45031,DARLINGTON,SC,2014,7743200
42043,DAUPHIN,PA,2006,5801046
42043,DAUPHIN,PA,2007,6645954
42043,DAUPHIN,PA,2008,7670310
42043,DAUPHIN,PA,2009,9023390
42043,DAUPHIN,PA,2010,9592745
42043,DAUPHIN,PA,2011,10599980
42043,DAUPHIN,PA,2012,11063570
42043,DAUPHIN,PA,2013,11049010
42043,DAUPHIN,PA,2014,10634440
37057,DAVIDSON,NC,2006,5035255
37057,DAVIDSON,NC,2007,5751880
37057,DAVIDSON,NC,2008,5920960
37057,DAVIDSON,NC,2009,6580270
37057,DAVIDSON,NC,2010,7181460
37057,DAVIDSON,NC,2011,7522900
37057,DAVIDSON,NC,2012,7585220
37057,DAVIDSON,NC,2013,7398460
37057,DAVIDSON,NC,2014,7091640
47037,DAVIDSON,TN,2006,22307320
47037,DAVIDSON,TN,2007,23966124
47037,DAVIDSON,TN,2008,27037010
47037,DAVIDSON,TN,2009,30960678
47037,DAVIDSON,TN,2010,34855995
47037,DAVIDSON,TN,2011,35829550
47037,DAVIDSON,TN,2012,35855852
47037,DAVIDSON,TN,2013,32743140
47037,DAVIDSON,TN,2014,32056330
37059,DAVIE,NC,2006,1303070
37059,DAVIE,NC,2007,1515230
37059,DAVIE,NC,2008,1605620
37059,DAVIE,NC,2009,1792920
37059,DAVIE,NC,2010,1844380
37059,DAVIE,NC,2011,1988220
37059,DAVIE,NC,2012,2074710
37059,DAVIE,NC,2013,2098930
37059,DAVIE,NC,2014,2130500
18027,DAVIESS,IN,2006,1516690
18027,DAVIESS,IN,2007,1884080
18027,DAVIESS,IN,2008,1995890
18027,DAVIESS,IN,2009,2064260
18027,DAVIESS,IN,2010,2054580
18027,DAVIESS,IN,2011,2321690
18027,DAVIESS,IN,2012,2468360
18027,DAVIESS,IN,2013,2465220
18027,DAVIESS,IN,2014,2210860
21059,DAVIESS,KY,2006,3755120
21059,DAVIESS,KY,2007,4442900
21059,DAVIESS,KY,2008,4875140
21059,DAVIESS,KY,2009,5512300
21059,DAVIESS,KY,2010,6131385
21059,DAVIESS,KY,2011,6880110
21059,DAVIESS,KY,2012,6643740
21059,DAVIESS,KY,2013,6357900
21059,DAVIESS,KY,2014,6620980
29061,DAVIESS,MO,2006,71460
29061,DAVIESS,MO,2007,82400
29061,DAVIESS,MO,2008,86400
29061,DAVIESS,MO,2009,105100
29061,DAVIESS,MO,2010,124900
29061,DAVIESS,MO,2011,134300
29061,DAVIESS,MO,2012,152830
29061,DAVIESS,MO,2013,128900
29061,DAVIESS,MO,2014,133000
19051,DAVIS,IA,2006,76800
19051,DAVIS,IA,2007,87600
19051,DAVIS,IA,2008,93790
19051,DAVIS,IA,2009,102580
19051,DAVIS,IA,2010,110800
19051,DAVIS,IA,2011,126670
19051,DAVIS,IA,2012,153670
19051,DAVIS,IA,2013,154700
19051,DAVIS,IA,2014,135200
49011,DAVIS,UT,2006,7781700
49011,DAVIS,UT,2007,8650050
49011,DAVIS,UT,2008,8852570
49011,DAVIS,UT,2009,9275860
49011,DAVIS,UT,2010,10070650
49011,DAVIS,UT,2011,10462394
49011,DAVIS,UT,2012,10879644
49011,DAVIS,UT,2013,10631334
49011,DAVIS,UT,2014,10524490
46035,DAVISON,SD,2006,346800
46035,DAVISON,SD,2007,360630
46035,DAVISON,SD,2008,416530
46035,DAVISON,SD,2009,466300
46035,DAVISON,SD,2010,564700
46035,DAVISON,SD,2011,638700
46035,DAVISON,SD,2012,716170
46035,DAVISON,SD,2013,717500
46035,DAVISON,SD,2014,679900
31045,DAWES,NE,2006,187300
31045,DAWES,NE,2007,214800
31045,DAWES,NE,2008,211620
31045,DAWES,NE,2009,239000
31045,DAWES,NE,2010,265130
31045,DAWES,NE,2011,284830
31045,DAWES,NE,2012,325920
31045,DAWES,NE,2013,337590
31045,DAWES,NE,2014,321650
13085,DAWSON,GA,2006,863770
13085,DAWSON,GA,2007,1012060
13085,DAWSON,GA,2008,1108652.5
13085,DAWSON,GA,2009,1229820
13085,DAWSON,GA,2010,1251390
13085,DAWSON,GA,2011,1348540
13085,DAWSON,GA,2012,1343520
13085,DAWSON,GA,2013,1292390
13085,DAWSON,GA,2014,1301120
30021,DAWSON,MT,2006,256400
30021,DAWSON,MT,2007,223940
30021,DAWSON,MT,2008,260500
30021,DAWSON,MT,2009,273900
30021,DAWSON,MT,2010,378400
30021,DAWSON,MT,2011,408400
30021,DAWSON,MT,2012,396900
30021,DAWSON,MT,2013,400600
30021,DAWSON,MT,2014,391200
31047,DAWSON,NE,2006,300100
31047,DAWSON,NE,2007,321640
31047,DAWSON,NE,2008,334610
31047,DAWSON,NE,2009,410540
31047,DAWSON,NE,2010,457790
31047,DAWSON,NE,2011,512780
31047,DAWSON,NE,2012,535760
31047,DAWSON,NE,2013,561790
31047,DAWSON,NE,2014,581050
48115,DAWSON,TX,2006,229100
48115,DAWSON,TX,2007,229530
48115,DAWSON,TX,2008,252130
48115,DAWSON,TX,2009,278200
48115,DAWSON,TX,2010,317330
48115,DAWSON,TX,2011,348560
48115,DAWSON,TX,2012,356400
48115,DAWSON,TX,2013,353800
48115,DAWSON,TX,2014,325900
46037,DAY,SD,2006,86000
46037,DAY,SD,2007,86100
46037,DAY,SD,2008,91800
46037,DAY,SD,2009,107920
46037,DAY,SD,2010,107200
46037,DAY,SD,2011,111550
46037,DAY,SD,2012,118920
46037,DAY,SD,2013,124880
46037,DAY,SD,2014,133280
35011,DE BACA,NM,2006,42100
35011,DE BACA,NM,2007,58100
35011,DE BACA,NM,2008,84600
35011,DE BACA,NM,2009,98900
35011,DE BACA,NM,2010,112700
35011,DE BACA,NM,2011,135500
35011,DE BACA,NM,2012,159500
35011,DE BACA,NM,2013,150900
35011,DE BACA,NM,2014,162400
01049,DE KALB,AL,2006,2254370
01049,DE KALB,AL,2007,2660220
01049,DE KALB,AL,2008,2986170
01049,DE KALB,AL,2009,3343160
01049,DE KALB,AL,2010,3735034
01049,DE KALB,AL,2011,4326310
01049,DE KALB,AL,2012,4831860
01049,DE KALB,AL,2013,4873980
01049,DE KALB,AL,2014,5089130
18033,DE KALB,IN,2006,647900
18033,DE KALB,IN,2007,811130
18033,DE KALB,IN,2008,958330
18033,DE KALB,IN,2009,1063300
18033,DE KALB,IN,2010,1229110
18033,DE KALB,IN,2011,1508210
18033,DE KALB,IN,2012,1652650
18033,DE KALB,IN,2013,1481200
18033,DE KALB,IN,2014,1410970
12027,DE SOTO,FL,2006,767910
12027,DE SOTO,FL,2007,839270
12027,DE SOTO,FL,2008,823840
12027,DE SOTO,FL,2009,849730
12027,DE SOTO,FL,2010,963250
12027,DE SOTO,FL,2011,1077710
12027,DE SOTO,FL,2012,1048660
12027,DE SOTO,FL,2013,979200
12027,DE SOTO,FL,2014,1031620
22031,DE SOTO,LA,2006,432840
22031,DE SOTO,LA,2007,475730
22031,DE SOTO,LA,2008,659640
22031,DE SOTO,LA,2009,531560
22031,DE SOTO,LA,2010,502850
22031,DE SOTO,LA,2011,545530
22031,DE SOTO,LA,2012,571380
22031,DE SOTO,LA,2013,591940
22031,DE SOTO,LA,2014,625110
48123,DE WITT,TX,2006,599860
48123,DE WITT,TX,2007,808930
48123,DE WITT,TX,2008,779280
48123,DE WITT,TX,2009,807470
48123,DE WITT,TX,2010,946550
48123,DE WITT,TX,2011,1069420
48123,DE WITT,TX,2012,1099840
48123,DE WITT,TX,2013,1096920
48123,DE WITT,TX,2014,1088200
48117,DEAF SMITH,TX,2006,260300
48117,DEAF SMITH,TX,2007,323580
48117,DEAF SMITH,TX,2008,389400
48117,DEAF SMITH,TX,2009,439660
48117,DEAF SMITH,TX,2010,467620
48117,DEAF SMITH,TX,2011,535600
48117,DEAF SMITH,TX,2012,488360
48117,DEAF SMITH,TX,2013,414600
48117,DEAF SMITH,TX,2014,371600
18029,DEARBORN,IN,2006,2121180
18029,DEARBORN,IN,2007,2697750
18029,DEARBORN,IN,2008,3018630
18029,DEARBORN,IN,2009,3182160
18029,DEARBORN,IN,2010,3419500
18029,DEARBORN,IN,2011,3405320
18029,DEARBORN,IN,2012,3259480
18029,DEARBORN,IN,2013,3102880
18029,DEARBORN,IN,2014,2975710
13087,DECATUR,GA,2006,719140
13087,DECATUR,GA,2007,867010
13087,DECATUR,GA,2008,1034050
13087,DECATUR,GA,2009,1154268
13087,DECATUR,GA,2010,1139280
13087,DECATUR,GA,2011,1341200
13087,DECATUR,GA,2012,1446410
13087,DECATUR,GA,2013,1447800
13087,DECATUR,GA,2014,1341380
19053,DECATUR,IA,2006,150500
19053,DECATUR,IA,2007,167800
19053,DECATUR,IA,2008,189100
19053,DECATUR,IA,2009,204300
19053,DECATUR,IA,2010,233600
19053,DECATUR,IA,2011,294820
19053,DECATUR,IA,2012,327340
19053,DECATUR,IA,2013,337590
19053,DECATUR,IA,2014,265600
18031,DECATUR,IN,2006,905475
18031,DECATUR,IN,2007,1099860
18031,DECATUR,IN,2008,1038135
18031,DECATUR,IN,2009,1030265
18031,DECATUR,IN,2010,1150790
18031,DECATUR,IN,2011,1274925
18031,DECATUR,IN,2012,1367665
18031,DECATUR,IN,2013,1289020
18031,DECATUR,IN,2014,1016295
20039,DECATUR,KS,2006,70800
20039,DECATUR,KS,2007,85730
20039,DECATUR,KS,2008,88900
20039,DECATUR,KS,2009,98200
20039,DECATUR,KS,2010,116600
20039,DECATUR,KS,2011,110300
20039,DECATUR,KS,2012,85100
20039,DECATUR,KS,2013,91800
20039,DECATUR,KS,2014,89000
47039,DECATUR,TN,2006,1206100
47039,DECATUR,TN,2007,1352590
47039,DECATUR,TN,2008,1396440
47039,DECATUR,TN,2009,1618130
47039,DECATUR,TN,2010,1575020
47039,DECATUR,TN,2011,1927850
47039,DECATUR,TN,2012,2082500
47039,DECATUR,TN,2013,2368790
47039,DECATUR,TN,2014,2282060
30023,DEER LODGE,MT,2006,257400
30023,DEER LODGE,MT,2007,319000
30023,DEER LODGE,MT,2008,350700
30023,DEER LODGE,MT,2009,343000
30023,DEER LODGE,MT,2010,356000
30023,DEER LODGE,MT,2011,386400
30023,DEER LODGE,MT,2012,351790
30023,DEER LODGE,MT,2013,350000
30023,DEER LODGE,MT,2014,371000
39039,DEFIANCE,OH,2006,863010
39039,DEFIANCE,OH,2007,986874
39039,DEFIANCE,OH,2008,1017720
39039,DEFIANCE,OH,2009,1097420
39039,DEFIANCE,OH,2010,1141590
39039,DEFIANCE,OH,2011,1331860
39039,DEFIANCE,OH,2012,1414850
39039,DEFIANCE,OH,2013,1384760
39039,DEFIANCE,OH,2014,1479440
13089,DEKALB,GA,2006,8068622
13089,DEKALB,GA,2007,9146306.25
13089,DEKALB,GA,2008,10238042.25
13089,DEKALB,GA,2009,10995530.625
13089,DEKALB,GA,2010,11674858
13089,DEKALB,GA,2011,13324187
13089,DEKALB,GA,2012,13309988
13089,DEKALB,GA,2013,13213640
13089,DEKALB,GA,2014,13259010
17037,DEKALB,IL,2006,1371900
17037,DEKALB,IL,2007,1409370
17037,DEKALB,IL,2008,1546030
17037,DEKALB,IL,2009,1712210
17037,DEKALB,IL,2010,2055390
17037,DEKALB,IL,2011,2321690
17037,DEKALB,IL,2012,2371090
17037,DEKALB,IL,2013,2369950
17037,DEKALB,IL,2014,2348300
29063,DEKALB,MO,2006,67030
29063,DEKALB,MO,2007,73200
29063,DEKALB,MO,2008,98130
29063,DEKALB,MO,2009,124700
29063,DEKALB,MO,2010,128500
29063,DEKALB,MO,2011,127720
29063,DEKALB,MO,2012,125760
29063,DEKALB,MO,2013,119600
29063,DEKALB,MO,2014,87300
47041,DEKALB,TN,2006,1387500
47041,DEKALB,TN,2007,1502990
47041,DEKALB,TN,2008,1584930
47041,DEKALB,TN,2009,1858180
47041,DEKALB,TN,2010,2086480
47041,DEKALB,TN,2011,2125220
47041,DEKALB,TN,2012,2108820
47041,DEKALB,TN,2013,2226270
47041,DEKALB,TN,2014,2199800
06015,DEL NORTE,CA,2006,1821000
06015,DEL NORTE,CA,2007,1990760
06015,DEL NORTE,CA,2008,2176430
06015,DEL NORTE,CA,2009,2228290
06015,DEL NORTE,CA,2010,2429440
06015,DEL NORTE,CA,2011,2652750
06015,DEL NORTE,CA,2012,2712830
06015,DEL NORTE,CA,2013,2643350
06015,DEL NORTE,CA,2014,2535190
19055,DELAWARE,IA,2006,131700
19055,DELAWARE,IA,2007,164300
19055,DELAWARE,IA,2008,193000
19055,DELAWARE,IA,2009,178200
19055,DELAWARE,IA,2010,213100
19055,DELAWARE,IA,2011,242600
19055,DELAWARE,IA,2012,262800
19055,DELAWARE,IA,2013,270900
19055,DELAWARE,IA,2014,279600
18035,DELAWARE,IN,2006,5880440
18035,DELAWARE,IN,2007,6753880
18035,DELAWARE,IN,2008,7122490
18035,DELAWARE,IN,2009,7727310
18035,DELAWARE,IN,2010,7070930
18035,DELAWARE,IN,2011,7803990
18035,DELAWARE,IN,2012,8279540
18035,DELAWARE,IN,2013,8077140
18035,DELAWARE,IN,2014,7094030
36025,DELAWARE,NY,2006,1258730
36025,DELAWARE,NY,2007,1454150
36025,DELAWARE,NY,2008,1520780
36025,DELAWARE,NY,2009,1631520
36025,DELAWARE,NY,2010,1673110
36025,DELAWARE,NY,2011,1834124
36025,DELAWARE,NY,2012,1904830
36025,DELAWARE,NY,2013,1711280
36025,DELAWARE,NY,2014,1708930
39041,DELAWARE,OH,2006,3495880
39041,DELAWARE,OH,2007,4156950
39041,DELAWARE,OH,2008,4403370
39041,DELAWARE,OH,2009,4943212
39041,DELAWARE,OH,2010,5137832
39041,DELAWARE,OH,2011,5368430
39041,DELAWARE,OH,2012,5266240
39041,DELAWARE,OH,2013,4741730
39041,DELAWARE,OH,2014,4774540
40041,DELAWARE,OK,2006,939820
40041,DELAWARE,OK,2007,1079140
40041,DELAWARE,OK,2008,1248210
40041,DELAWARE,OK,2009,1325470
40041,DELAWARE,OK,2010,1470430
40041,DELAWARE,OK,2011,1640840
40041,DELAWARE,OK,2012,1668780
40041,DELAWARE,OK,2013,1643000
40041,DELAWARE,OK,2014,1679180
42045,DELAWARE,PA,2006,17309680
42045,DELAWARE,PA,2007,20661910
42045,DELAWARE,PA,2008,21731600
42045,DELAWARE,PA,2009,24499360
42045,DELAWARE,PA,2010,24523634
42045,DELAWARE,PA,2011,27190120
42045,DELAWARE,PA,2012,27850350
42045,DELAWARE,PA,2013,27351240
42045,DELAWARE,PA,2014,25930740
08029,DELTA,CO,2006,1071620
