"","geoid","place","x2010_total","x2010_white","x2010_black","x2010_native_am","x2010_asian","x2010_pac_islander","x2010_hispanic","x2020_total","x2020_white","x2020_black","x2020_native_am","x2020_asian","x2020_pac_islander","x2020_hispanic"
"291","2446725","Lexington Park CDP",10882,6296,3053,97,450,35,727,12934,6752,4230,0,971,0,902
"292","2446800","Libertytown CDP",745,745,0,0,0,0,0,831,831,0,0,0,0,13
"293","2447040","Linganore CDP",8309,7555,156,64,196,0,441,9988,8680,544,6,250,0,329
"294","2447125","Linthicum CDP",10444,9639,426,0,246,0,47,10116,9318,421,13,210,0,225
"295","2447275","Little Orleans CDP",24,9,0,0,15,0,0,54,51,0,0,0,0,0
"296","2447450","Lochearn CDP",25720,3416,21449,95,478,0,909,25612,3052,20536,61,451,216,1240
"297","2447525","Loch Lynn Heights town",755,740,0,0,0,0,15,465,457,0,0,0,0,3
"298","2447875","Lonaconing town",1305,1303,0,2,0,0,2,1282,1250,4,0,0,0,32
"299","2448025","Long Beach CDP",1866,1577,224,0,12,0,128,1979,1866,69,0,0,0,169
"300","2448775","Luke town",85,83,0,0,0,0,8,90,89,1,0,0,0,0
"301","2448800","Lusby CDP",2325,1653,551,0,0,0,166,2180,1685,479,0,0,0,24
"302","2448875","Lutherville CDP",6227,5551,96,0,410,0,144,6715,5275,210,2,810,0,208
"303","2449325","McCoole CDP",369,369,0,0,0,0,0,515,515,0,0,0,0,0
"304","2449700","Madison CDP",267,199,68,0,0,0,0,163,142,15,0,0,0,9
"305","2449950","Manchester town",4597,4488,29,44,16,0,364,4752,4392,163,55,6,0,101
"306","2450375","Mapleville CDP",116,108,0,0,0,0,8,308,281,0,0,0,0,0
"307","2450525","Mardela Springs town",285,238,47,0,0,0,0,487,355,71,0,0,0,47
"308","2450680","Marlboro Meadows CDP",3631,295,3236,0,23,0,158,3705,311,2819,10,61,0,631
"309","2450685","Marlboro Village CDP",9365,808,8106,100,64,0,429,9505,853,8235,70,12,0,196
"310","2450750","Marlow Heights CDP",6344,633,5673,0,10,0,390,5872,270,5079,27,75,18,443
"311","2450775","Marlton CDP",9012,1596,7200,0,48,0,183,9270,957,7957,14,76,0,275
"312","2450965","Martin's Additions village",904,845,23,0,10,0,30,1089,1045,9,0,10,0,51
"313","2451025","Marydel town",300,121,54,0,13,0,173,241,205,0,0,0,0,171
"314","2451075","Maryland City CDP",15420,6365,5670,0,1413,0,1940,17681,7169,8310,41,821,0,2118
"315","2451425","Maugansville CDP",3059,2961,75,0,0,0,20,2148,1810,263,2,13,0,69
"316","2451575","Mayo CDP",7776,7531,136,47,0,0,76,7979,7558,135,0,80,0,159
"317","2451587","Mays Chapel CDP",11965,10238,312,15,1177,0,188,12229,9896,393,39,1688,0,376
"318","2451800","Mechanicsville CDP",1528,1472,56,0,0,0,5,1724,1499,167,0,0,0,45
"319","2451860","Melwood CDP",2852,890,1850,44,23,0,47,NA,NA,NA,NA,NA,NA,NA
"320","2451945","Mercersville CDP",77,77,0,0,0,0,0,188,188,0,0,0,0,0
"321","2452225","Middleburg CDP",131,131,0,0,0,0,0,0,0,0,0,0,0,0
"322","2452300","Middle River CDP",23799,17296,4686,48,582,0,1122,29665,17143,9115,71,1502,5,2125
"323","2452425","Middletown town",3894,3606,109,0,100,0,198,4694,3816,76,6,457,0,56
"324","2452475","Midland town",391,384,0,0,4,0,0,678,635,0,3,4,2,0
"325","2452525","Midlothian CDP",271,271,0,0,0,0,0,385,385,0,0,0,0,0
"326","2452562","Milford Mill CDP",28767,3521,23544,28,642,0,1211,30355,2994,25145,212,1042,0,1036
"327","2452825","Millington town",597,502,46,40,8,0,100,610,452,115,0,5,0,87
"328","2452975","Mitchellville CDP",11653,741,10156,0,300,0,334,11511,807,9504,9,194,0,491
"329","2453100","Monrovia CDP",460,393,24,0,14,0,0,1556,764,347,0,372,0,20
"330","2453325","Montgomery Village CDP",31714,15469,7834,30,3763,46,6739,34413,14531,8127,160,4721,0,11298
"331","2453625","Morningside town",1683,737,792,38,32,0,403,1132,337,617,9,4,0,243
"332","2453700","Moscow CDP",229,229,0,0,0,0,0,325,325,0,0,0,0,0
"333","2453750","Mount Aetna CDP",571,571,0,0,0,0,136,599,527,7,7,58,0,0
"334","2453800","Mountain Lake Park town",1860,1832,25,0,0,0,0,1975,1914,0,1,48,0,2
"335","2453875","Mount Airy town",8921,8109,275,0,333,0,126,9439,8239,384,29,181,0,660
"336","2453925","Mount Briar CDP",102,56,0,46,0,0,0,117,117,0,0,0,0,0
"337","2454125","Mount Lena CDP",444,434,0,0,10,0,0,355,338,0,0,0,6,68
"338","2454275","Mount Rainier city",8149,1845,4646,0,201,39,2210,8149,2044,3664,0,145,0,2645
"339","2454325","Mount Savage CDP",980,842,130,0,0,0,0,768,741,0,7,0,0,0
"340","2454375","Mount Vernon CDP",799,687,112,0,0,0,0,1016,864,37,0,70,0,0
"341","2454875","Myersville town",1820,1701,44,5,0,0,87,2225,1962,32,4,57,0,113
"342","2454925","Nanticoke CDP",167,73,94,0,0,0,0,228,180,48,0,0,0,0
"343","2454930","Nanticoke Acres CDP",0,0,0,0,0,0,0,34,34,0,0,0,0,0
"344","2455000","National CDP",30,30,0,0,0,0,0,62,62,0,0,0,0,0
"345","2455018","National Harbor CDP",3127,351,2093,0,467,0,169,3998,706,2078,0,488,0,728
"346","2455050","Naval Academy CDP",4168,3502,183,23,122,33,390,5609,3974,698,44,251,52,946
"347","2455325","Newark CDP",262,262,0,0,0,0,0,439,372,11,0,0,0,0
"348","2455400","New Carrollton city",12123,3540,6884,14,778,0,3447,12925,2001,7621,0,284,0,3547
"349","2455650","New Market town",555,517,3,0,8,0,26,1527,1414,32,0,20,0,192
"350","2455925","New Windsor town",1398,1315,58,0,8,0,68,1387,1273,24,0,28,0,53
"351","2455950","Nikep CDP",39,39,0,0,0,0,0,0,0,0,0,0,0,0
"352","2456300","North Beach town",1606,1285,160,20,7,0,80,2790,1934,593,0,108,0,193
"353","2456337","North Bethesda CDP",40489,29374,2829,126,5626,0,4724,49719,30410,5506,106,7561,2,7842
"354","2456375","North Brentwood town",555,58,339,0,18,0,200,713,65,374,3,7,0,295
"355","2456400","North Chevy Chase village",560,445,46,0,13,0,76,555,430,27,0,74,0,39
"356","2456450","North East town",3492,3282,155,0,21,0,57,3588,2793,640,0,22,0,198
"357","2456712","North Kensington CDP",9623,5973,1090,86,738,0,2551,8879,5534,996,26,529,2,2042
"358","2456725","North Laurel CDP",4076,1719,1276,38,873,0,166,24856,9944,9141,93,3995,0,2136
"359","2456875","North Potomac CDP",25025,14074,1390,113,8816,27,886,24146,11536,1707,59,9257,0,1667
"360","2457650","Oakland town",1881,1774,0,10,0,0,10,2099,1991,45,4,23,0,36
"361","2458215","Ocean CDP",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"362","2458225","Ocean City town",7194,7052,11,0,38,0,204,6957,6709,50,36,11,0,506
"363","2458275","Ocean Pines CDP",11025,10619,171,30,135,0,101,12950,11596,425,7,372,0,464
"364","2458300","Odenton CDP",35399,23205,7992,142,2168,0,1439,42258,25129,9217,48,2677,6,3928
"365","2458775","Oldtown CDP",35,35,0,0,0,0,0,30,30,0,0,0,0,0
"366","2458900","Olney CDP",33167,24878,3324,0,3170,0,2383,35350,23218,4197,194,4520,0,3170
"367","2459325","Overlea CDP",12672,9780,2081,0,551,0,194,12063,7610,2899,0,385,0,989
"368","2459375","Owings CDP",2242,1833,369,0,0,0,27,2483,2252,153,0,0,0,68
"369","2459425","Owings Mills CDP",29734,11120,15263,120,2295,11,1981,34711,7803,21311,37,2597,0,2591
"370","2459450","Oxford town",603,594,0,0,0,0,3,827,704,43,0,7,0,93
"371","2459500","Oxon Hill CDP",18417,1934,13360,0,1035,0,2527,18049,1192,13302,95,724,0,2950
"372","2459787","Paramount-Long Meadow CDP",2648,2372,92,0,184,0,122,2834,2506,195,28,0,0,162
"373","2460275","Parkville CDP",30156,19079,9854,17,675,32,678,30459,17108,11228,52,662,27,1158
"374","2460325","Parole CDP",14894,12989,1172,10,532,9,348,17505,15525,1098,30,369,0,508
"375","2460425","Parsonsburg CDP",358,257,68,0,0,0,0,287,220,52,0,0,0,0
"376","2460475","Pasadena CDP",22189,18957,1678,21,662,16,640,29432,22589,3718,53,770,0,1837
"377","2460770","Pecktonville CDP",58,58,0,0,0,0,0,287,287,0,0,0,0,13
"378","2460950","Peppermill Village CDP",4842,160,4631,0,22,0,98,4861,219,4099,0,80,0,372
"379","2460975","Perry Hall CDP",28368,22966,2501,100,2459,0,495,27778,19271,3706,4,3550,10,1080
"380","2461075","Perryman CDP",2343,1797,383,0,64,0,38,2397,1407,845,0,15,0,174
"381","2461150","Perryville town",4311,3886,263,11,0,0,419,4424,3880,445,0,14,0,75
"382","2461400","Pikesville CDP",30720,23330,4437,100,1720,114,1135,32871,24826,5673,25,1263,35,1340
"383","2461700","Pinesburg CDP",543,531,0,0,12,0,0,255,255,0,0,0,0,0
"384","2461875","Piney Point CDP",913,860,37,0,16,0,0,1036,798,144,0,16,0,81
"385","2462025","Pittsville town",1494,1426,33,4,6,0,17,1742,1531,56,0,27,0,105
"386","2462100","Pleasant Grove CDP",555,555,0,0,0,0,0,339,339,0,0,0,0,0
"387","2462175","Pleasant Hills CDP",3561,3489,16,0,56,0,5,4017,3494,94,6,347,0,104
"388","2462475","Pocomoke City city",4216,1782,2371,0,10,0,0,4072,1978,1828,9,66,0,120
"389","2462575","Point of Rocks CDP",1347,1207,94,0,0,0,84,2067,1627,230,0,59,0,179
"390","2462675","Pomfret CDP",477,168,223,86,0,0,26,396,96,221,34,12,0,0
"391","2462775","Pondsville CDP",154,154,0,0,0,0,0,39,39,0,0,0,0,0
"392","2462850","Poolesville town",4889,4452,280,0,87,0,174,5228,4566,216,0,195,0,648
"393","2463075","Port Deposit town",621,543,65,6,7,0,3,624,490,86,0,0,0,40
"394","2463225","Port Tobacco Village town",20,13,7,0,0,0,0,4,4,0,0,0,0,0
"395","2463300","Potomac CDP",44785,33438,2740,0,7251,0,2827,46256,30768,2703,2,9636,31,4445
"396","2463375","Potomac Heights CDP",1268,1181,36,0,0,0,0,1247,1095,40,0,8,0,5
"397","2463425","Potomac Park CDP",3157,1624,1364,54,9,0,60,718,695,4,0,4,0,15
"398","2463725","Powellville CDP",66,66,0,0,0,0,0,109,56,53,0,0,0,0
"399","2463825","Preston town",512,428,21,0,13,0,2,861,759,57,0,0,0,32
"400","2463950","Prince Frederick CDP",2601,1829,595,0,59,0,44,2709,1437,822,4,169,0,294
"401","2464000","Princess Anne town",3140,1208,1676,0,0,0,20,3525,668,2759,4,8,0,349
"402","2464375","Pylesville CDP",588,588,0,0,0,0,12,1015,1015,0,0,0,0,0
"403","2464475","Quantico CDP",125,91,0,0,34,0,0,199,199,0,0,0,0,0
"404","2464495","Queen Anne CDP",1132,493,547,0,0,0,10,1183,565,592,0,0,0,169
"405","2464500","Queen Anne town",243,218,0,0,5,0,0,213,184,16,3,10,0,11
"406","2464535","Queenland CDP",2135,384,1666,0,0,0,44,NA,NA,NA,NA,NA,NA,NA
"407","2464600","Queenstown town",690,629,26,16,9,0,5,950,771,13,0,0,0,408
"408","2464950","Randallstown CDP",32570,4807,25855,94,744,18,546,35661,4798,28381,98,651,6,957
"409","2465150","Rawlings CDP",826,826,0,0,0,0,0,370,370,0,0,0,0,0
"410","2465312","Redland CDP",16938,8751,2664,85,3218,0,3912,17475,9126,1770,55,2905,46,5456
"411","2465550","Reid CDP",49,49,0,0,0,0,0,0,0,0,0,0,0,0
"412","2465600","Reisterstown CDP",26947,15798,7100,65,1894,52,2708,27804,13691,10146,31,2088,0,2366
"413","2466000","Ridgely town",2257,1884,243,7,0,55,68,1956,1547,288,0,20,0,216
"414","2466150","Ringgold CDP",293,293,0,0,0,0,0,90,90,0,0,0,0,0
"415","2466275","Rising Sun town",2651,2565,52,0,22,0,203,2790,2539,20,0,0,0,111
"416","2466400","Riva CDP",3927,3648,116,0,79,0,156,4321,4198,44,0,19,0,260
"417","2466635","Riverdale Park town",6893,3211,2451,12,219,12,2924,7216,1702,1503,100,113,0,4006
"418","2466762","Riverside CDP",6543,4561,1271,18,383,0,385,5888,3728,1429,0,222,6,418
"419","2466850","Riviera Beach CDP",11813,11175,309,23,89,0,209,12780,10924,834,0,286,0,154
"420","2467000","Robinwood CDP",8056,6529,1042,9,386,0,286,7482,5279,765,0,487,18,982
"421","2467400","Rock Hall town",1243,1044,176,0,13,0,5,1563,1295,193,2,1,1,18
"422","2467500","Rock Point CDP",71,29,42,0,0,0,0,63,53,10,0,0,0,0
"423","2467675","Rockville city",58300,38431,4855,137,10935,35,8197,68155,38236,7480,185,13507,0,10491
"424","2467950","Rohrersville CDP",346,346,0,0,0,0,0,280,280,0,0,0,0,0
"425","2468300","Rosaryville CDP",11479,1323,9499,0,144,0,367,11344,1005,8981,0,146,0,380
"426","2468400","Rosedale CDP",19044,11133,6010,64,897,0,522,19963,10495,7940,40,832,48,1335
"427","2468600","Rosemont village",384,378,0,0,0,0,0,325,319,5,1,0,0,3
"428","2468700","Rossville CDP",15072,8620,3943,43,1470,0,728,15993,7246,5940,0,1812,0,2026
"429","2469200","Sabillasville CDP",465,358,92,0,0,0,0,390,318,36,0,0,0,32
"430","2469425","St. George Island CDP",329,247,44,0,30,0,0,426,366,0,0,0,0,0
"431","2469550","St. James CDP",3056,2604,155,0,14,0,431,3567,2639,606,0,116,10,77
"432","2469675","St. Leonard CDP",918,775,131,0,12,0,11,549,540,9,0,0,0,62
"433","2469825","St. Michaels town",1093,799,228,0,5,0,69,1311,972,252,3,14,0,84
"434","2469925","Salisbury city",29343,16736,10110,168,824,11,1668,32850,16479,13093,83,1348,6,1715
"435","2470175","Sandy Hook CDP",104,104,0,0,0,0,0,193,193,0,0,0,0,0
"436","2470300","San Mar CDP",395,387,8,0,0,0,0,318,292,21,0,0,0,14
"437","2470475","Savage CDP",6789,3326,2528,14,663,0,308,6849,3768,2575,0,235,0,491
"438","2470530","Scaggsville CDP",22995,12738,5672,64,2856,0,1595,NA,NA,NA,NA,NA,NA,NA
"439","2470775","Seabrook CDP",15620,3246,9655,16,1149,0,2452,19020,1675,12109,19,1223,0,4734
"440","2470850","Seat Pleasant city",4612,37,4183,63,0,0,169,4753,194,3862,127,50,0,772
"441","2470900","Secretary town",667,622,0,0,8,0,80,497,447,3,0,3,0,58
"442","2471150","Severn CDP",41753,22600,13061,192,2856,133,2638,53374,25747,17340,47,5131,0,4081
"443","2471200","Severna Park CDP",37079,34238,1276,13,920,15,473,38729,34658,938,70,1308,0,1232
"444","2471450","Shady Side CDP",5885,4975,670,91,13,0,11,4885,4001,545,0,117,0,138
"445","2471460","Shaft CDP",128,116,12,0,0,0,7,291,291,0,0,0,0,0
"446","2471600","Sharpsburg town",661,658,3,0,0,0,16,708,693,0,0,1,0,11
"447","2471650","Sharptown town",865,803,0,0,9,0,0,687,649,28,0,0,0,10
"448","2472350","Silver Hill CDP",6104,263,5764,0,0,0,47,5155,98,4859,5,35,0,177
"449","2472450","Silver Spring CDP",70049,30725,19389,701,4719,82,19446,81069,32689,23383,214,5777,30,21087
"450","2472887","Smith Island CDP",207,207,0,0,0,0,0,261,261,0,0,0,0,0
"451","2472900","Smithsburg town",2861,2693,125,0,0,0,212,2977,2685,125,0,88,0,45
"452","2473075","Snow Hill town",2520,1597,887,10,8,0,55,2206,1340,736,0,0,0,9
"453","2473325","Solomons CDP",2009,1995,0,0,0,0,56,2470,2411,59,0,0,0,0
"454","2473350","Somerset town",1367,1288,13,0,40,0,38,952,886,23,0,31,0,85
"455","2473600","South Kensington CDP",8149,7073,462,13,277,0,337,8494,7052,372,7,389,12,447
"456","2473650","South Laurel CDP",25742,7116,15128,124,1242,26,3417,27593,4834,18054,41,1393,0,3831
"457","2474050","Spencerville CDP",1494,1031,310,0,0,0,204,1653,718,531,0,223,0,316
"458","2474282","Springdale CDP",2522,12,2385,18,81,0,18,4762,238,3827,64,69,0,738
"459","2474350","Spring Gap CDP",0,0,0,0,0,0,0,38,38,0,0,0,0,0
"460","2474560","Spring Ridge CDP",5867,5047,149,31,334,0,583,5612,4975,310,9,125,0,328
"461","2475025","Stevensville CDP",6813,6290,108,0,91,0,132,8145,7026,418,0,341,0,408
"462","2475200","Stockton CDP",81,81,0,0,0,0,0,59,26,15,0,0,0,0
"463","2475650","Sudlersville town",301,276,25,0,0,0,11,423,362,39,0,0,0,0
"464","2475725","Suitland CDP",25240,1176,23309,0,63,0,1235,25273,850,22152,0,213,0,2113
"465","2475810","Summerfield CDP",11134,274,9668,0,616,0,448,14477,474,12734,20,140,0,1347
"466","2476450","Swanton CDP",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"467","2476550","Sykesville town",4454,4170,20,0,224,0,125,3948,3224,435,0,68,0,142
"468","2476650","Takoma Park city",16853,8879,6081,21,701,7,1914,17703,8188,6384,86,830,0,2012
"469","2476675","Tall Timbers CDP",347,347,0,0,0,0,0,570,509,34,0,27,0,0
"470","2476725","Taneytown city",6566,5998,447,0,0,0,124,6837,6263,430,14,57,0,128
"471","2476925","Taylors Island CDP",188,143,0,0,0,0,0,83,69,14,0,0,0,0
"472","2477100","Temple Hills CDP",7639,391,6931,0,90,0,193,8221,229,6731,58,26,0,1311
"473","2477200","Templeville town",178,90,0,0,0,0,129,170,57,0,19,0,0,131
"474","2477825","Thurmont town",6127,5719,167,10,41,0,139,6783,6307,73,0,0,0,403
"475","2477912","Tilghman Island CDP",656,636,0,20,0,0,0,831,823,0,0,0,0,55
"476","2477925","Tilghmanton CDP",587,587,0,0,0,0,0,355,355,0,0,0,0,0
"477","2478050","Timonium CDP",9773,8577,135,23,857,0,308,10642,8527,508,0,1239,0,191
"478","2478120","Tolchester CDP",457,457,0,0,0,0,0,435,275,108,0,0,5,21
"479","2478425","Towson CDP",54068,44300,4986,139,3066,7,2082,57542,42341,8536,126,3428,39,2766
"480","2478575","Trappe town",1182,872,287,0,0,0,89,1153,890,215,11,5,0,93
"481","2478650","Travilah CDP",12063,7455,625,0,3509,0,533,11239,6364,734,12,3603,0,322
"482","2478705","Trego-Rohrersville Station CDP",210,210,0,0,0,0,0,101,101,0,0,0,0,0
"483","2479225","Tyaskin CDP",227,227,0,0,0,0,0,170,170,0,0,0,0,0
"484","2479350","Union Bridge town",836,750,68,0,0,0,0,963,849,30,0,59,0,20
"485","2479675","University Park town",2528,2090,178,0,121,0,325,2653,1916,381,0,138,0,186
"486","2479875","Upper Marlboro town",739,217,421,0,14,0,65,586,182,396,0,0,0,0
"487","2479900","Urbana CDP",7294,4932,612,12,1206,0,712,12362,6897,1423,70,2332,0,1857
"488","2480075","Vale Summit CDP",120,120,0,0,0,0,0,137,137,0,0,0,0,0
"489","2480600","Vienna town",255,241,5,9,0,0,0,423,305,33,2,0,0,74
"490","2481175","Waldorf CDP",67143,27403,34111,238,2381,14,3339,77711,20696,47903,569,2628,31,6262
"491","2481250","Walker Mill CDP",11575,271,11000,0,63,0,154,9725,245,8788,85,113,0,482
"492","2481275","Walkersville town",5743,5070,218,164,85,0,303,6306,5268,352,51,260,0,490
"493","2481675","Washington Grove town",445,345,0,0,23,0,76,710,531,109,0,17,0,39
"494","2481925","Waterview CDP",55,55,0,0,0,0,0,21,21,0,0,0,0,0
"495","2482625","West Denton CDP",103,61,42,0,0,0,0,14,14,0,0,0,0,0
"496","2482750","Westernport town",2093,2090,0,0,0,0,3,1938,1900,2,0,15,0,7
"497","2483025","West Laurel CDP",4741,3167,695,0,334,0,778,4171,2512,605,0,471,0,371
"498","2483100","Westminster city",18591,16347,1598,20,146,0,960,18649,14976,1674,61,581,4,1201
"499","2483225","West Ocean City CDP",4541,4458,0,0,0,0,472,4661,4067,258,31,50,0,172
"500","2483290","Westphalia CDP",6095,921,4941,0,98,0,166,9269,1296,7335,23,84,0,931
"501","2483337","West Pocomoke CDP",447,340,107,0,0,0,0,458,294,164,0,0,0,0
"502","2483746","Whaleyville CDP",159,149,0,10,0,0,0,48,36,12,0,0,0,0
"503","2483775","Wheaton CDP",45079,17665,7977,110,5235,0,19001,51191,17768,8650,320,5847,175,22787
"504","2484225","Whitehaven CDP",95,95,0,0,0,0,0,168,168,0,0,0,0,0
"505","2484350","White Marsh CDP",9520,7732,800,12,683,0,267,9096,6478,1135,81,811,0,347
"506","2484375","White Oak CDP",16659,4153,8084,0,1971,0,2917,15655,3076,9438,24,1332,0,2700
"507","2484950","Willards town",1077,852,88,6,45,0,40,1034,869,49,0,4,0,108
"508","2485100","Williamsport town",2455,2267,117,0,6,0,10,2012,1766,146,11,9,0,50
"509","2485175","Williston CDP",192,192,0,0,0,0,0,174,174,0,0,0,0,0
"510","2485395","Wilson-Conococheague CDP",2256,2196,13,0,17,0,44,2014,1800,116,0,0,0,15
"511","2486275","Woodland CDP",111,111,0,0,0,0,0,31,31,0,0,0,0,0
"512","2486475","Woodlawn CDP (Baltimore County)",37978,9640,23764,85,2756,0,1831,41505,10145,23269,123,6014,251,3397
"513","2486525","Woodlawn CDP (Prince George's County)",6490,1585,3880,77,90,0,1919,6977,1637,2728,87,38,0,3635
"514","2486710","Woodmore CDP",3501,363,3055,0,83,0,28,4698,398,3942,0,157,0,130
"515","2486750","Woodsboro town",1101,995,0,5,8,0,81,1181,773,348,0,19,0,47
"516","2487000","Worton CDP",136,136,0,0,0,0,0,98,98,0,0,0,0,0
"517","2487150","Yarrowsburg CDP",158,158,0,0,0,0,0,274,274,0,0,0,0,0
"518","2487275","Zihlman CDP",361,361,0,0,0,0,0,347,340,0,0,0,0,16
"519","2400200","Abingdon CDP",NA,NA,NA,NA,NA,NA,NA,5324,2756,2090,0,189,0,119
"520","2406662","Bensville CDP",NA,NA,NA,NA,NA,NA,NA,13658,4360,7461,138,793,0,610
"521","2410737","Brown Station CDP",NA,NA,NA,NA,NA,NA,NA,3596,90,3243,0,172,0,81
"522","2411550","Burnt Mills CDP",NA,NA,NA,NA,NA,NA,NA,4083,1405,1375,0,209,0,1394
"523","2412175","Callaway CDP",NA,NA,NA,NA,NA,NA,NA,1320,1045,171,0,61,0,28
"524","2414550","Cedar Heights CDP",NA,NA,NA,NA,NA,NA,NA,1977,1,1908,0,0,0,68
"525","2416025","Chesapeake Landing CDP",NA,NA,NA,NA,NA,NA,NA,132,84,15,0,0,0,0
"526","2421150","Crumpton CDP",NA,NA,NA,NA,NA,NA,NA,324,313,0,0,0,0,31
"527","2424050","Dunkirk CDP",NA,NA,NA,NA,NA,NA,NA,2175,1986,73,9,45,0,100
"528","2428512","Flower Hill CDP",NA,NA,NA,NA,NA,NA,NA,14185,7233,2047,50,1524,1,5673
"529","2434350","Graceham CDP",NA,NA,NA,NA,NA,NA,NA,304,288,0,0,0,0,57
"530","2435412","Green Valley CDP",NA,NA,NA,NA,NA,NA,NA,12391,11030,196,3,382,30,831
"531","2440200","Honeygo CDP",NA,NA,NA,NA,NA,NA,NA,11558,7865,1219,0,1777,0,297
"532","2441025","Huntingtown CDP",NA,NA,NA,NA,NA,NA,NA,3029,2509,143,0,201,0,42
"533","2446650","Lewistown CDP",NA,NA,NA,NA,NA,NA,NA,410,410,0,0,0,0,0
"534","2447250","Lisbon CDP",NA,NA,NA,NA,NA,NA,NA,19,19,0,0,0,0,0
"535","2451125","Maryland Park CDP",NA,NA,NA,NA,NA,NA,NA,717,35,656,0,0,0,40
"536","2451940","Melwood CDP",NA,NA,NA,NA,NA,NA,NA,3923,555,2373,0,54,0,856
"537","2464568","Queensland CDP",NA,NA,NA,NA,NA,NA,NA,1792,210,1467,0,37,0,51
"538","2468265","Romancoke CDP",NA,NA,NA,NA,NA,NA,NA,1717,1652,18,0,0,0,0
"539","2470525","Scaggsville CDP",NA,NA,NA,NA,NA,NA,NA,9948,5567,1342,10,2206,0,352
"540","2475150","Still Pond CDP",NA,NA,NA,NA,NA,NA,NA,119,119,0,0,0,0,0
"541","2477262","Ten Mile Creek CDP",NA,NA,NA,NA,NA,NA,NA,1074,558,474,0,0,0,161
"542","2484784","Wildewood CDP",NA,NA,NA,NA,NA,NA,NA,6691,5676,416,0,146,21,635
